query,claim_text,claimant,claim_date_raw,claim_language_code,review_publisher,review_site,review_title,review_url,review_date_raw,textual_rating,review_language_code,claim_date,review_date,rating_normalized,tag_text,narrative_tags_list,narrative_tags
weight loss pill,Actor Rebel Wilson endorsed apple cider vinegar keto gummies or diet pills for weight loss.,,,,Snopes,snopes.com,Rebel Wilson Did Not Endorse ACV Keto Weight Loss Gummies,https://www.snopes.com/fact-check/rebel-wilson-acv-keto/,2022-07-20T05:24:24Z,False,en,,2022-07-20,false,Actor Rebel Wilson endorsed apple cider vinegar keto gummies or diet pills for weight loss. Rebel Wilson Did Not Endorse ACV Keto Weight Loss Gummies False,"['celebrity_endorsement', 'supplement_scam']",celebrity_endorsement|supplement_scam
weight loss pill,Kokando ‘pink pill’ is an effective weight loss pill.,,2022-08-01T08:15:00Z,,Rappler,rappler.com,Kokando ‘pink pill’ is not for weight loss,https://www.rappler.com/newsbreak/fact-check/kokando-pink-pill-not-weight-loss/,2022-08-01T08:15:00Z,False,en,2022-08-01,2022-08-01,false,Kokando ‘pink pill’ is an effective weight loss pill. Kokando ‘pink pill’ is not for weight loss False,['supplement_scam'],supplement_scam
weight loss pill,Shark Tank judges did not endorse keto diet pills.,Dipit_gt,2021-03-23T00:00:00Z,,AFP Fact Check,factcheck.afp.com,Keto weight loss pill not endorsed by ‘Shark Tank’ show judges,https://factcheck.afp.com/keto-weight-loss-pill-not-endorsed-shark-tank-show-judges,2021-03-23T17:54:00Z,Scam,en,2021-03-23,2021-03-23,false,Shark Tank judges did not endorse keto diet pills. Keto weight loss pill not endorsed by ‘Shark Tank’ show judges Scam,"['celebrity_endorsement', 'supplement_scam']",celebrity_endorsement|supplement_scam
weight loss pill,Oprah Endorsing Diet Pill That 'Lost Her 60 In 6 Weeks',facebook.com,2022-02-08T23:31:00Z,,Lead Stories,leadstories.com,Fact Check: Oprah Winfrey Is NOT Endorsing Diet Pill That 'Lost Her 60 In 6 Weeks',https://leadstories.com/hoax-alert/2022/02/fact-check-oprah-winfrey-does-not-endorse-diet-pill-that-lost-her-60-in-6-weeks.html,2022-02-08T23:31:00Z,No Endorsement,en,2022-02-08,2022-02-08,other,Oprah Endorsing Diet Pill That 'Lost Her 60 In 6 Weeks' Fact Check: Oprah Winfrey Is NOT Endorsing Diet Pill That 'Lost Her 60 In 6 Weeks' No Endorsement,['supplement_scam'],supplement_scam
weight loss pill,"GLP-1, originally intended to treat diabetes, can work for weight loss.",Many on social media,,,WCNC,wcnc.com,Does this new drug made to treat diabetes really work for weight,https://www.wcnc.com/article/news/verify/glp-1-diabetes-drug-weight-loss-social-media-claims-true-verify/275-af00a114-5a6c-4f38-9cc6-ac4dbcb61268,2022-10-24T09:49:00Z,True,en,,2022-10-24,true,"GLP-1, originally intended to treat diabetes, can work for weight loss. Does this new drug made to treat diabetes really work for weight True",[],
diet pill,Video shows Kelly Clarkson promoting weight loss keto gummies,Social media,2023-11-03T00:00:00Z,,USA Today,usatoday.com,Altered Kelly Clarkson video promotes keto diet gummies | Fact check,https://www.usatoday.com/story/news/factcheck/2023/11/07/altered-kelly-clarkson-video-promotes-keto-diet-gummies-fact-check/71488915007/,2023-11-07T22:49:48Z,Altered,en,2023-11-03,2023-11-07,other,Video shows Kelly Clarkson promoting weight loss keto gummies Altered Kelly Clarkson video promotes keto diet gummies | Fact check Altered,[],
diet pill,"A “keto” diet pill was successfully presented on the television show ""Shark Tank.""",,,,Snopes.com,snopes.com,Did 'Shark Tank' Endorse a Keto Diet Pill?,https://www.snopes.com/fact-check/shark-tank-endorse-keto-pill/,2019-11-19T06:10:44Z,Scam,en,,2019-11-19,false,"A “keto” diet pill was successfully presented on the television show ""Shark Tank."" Did 'Shark Tank' Endorse a Keto Diet Pill? Scam","['celebrity_endorsement', 'supplement_scam']",celebrity_endorsement|supplement_scam
diet pill,Ketogenic-based supplements let you lose weight while sleeping; Shark Tank judges backed “keto diet pill”,Anonymous,2021-04-15T00:00:00Z,,Science Feedback,science.feedback.org,No evidence that “keto diet pills” are effective for long-term weight ...,https://science.feedback.org/review/shark-tank-judges-didnt-endorse-a-keto-diet-pill-many-advertisements-for-keto-diet-supplements-promoted-by-suspicious-facebook-accounts/,2021-01-11T00:00:00Z,Inaccurate,en,2021-04-15,2021-01-11,true,Ketogenic-based supplements let you lose weight while sleeping; Shark Tank judges backed “keto diet pill” No evidence that “keto diet pills” are effective for long-term weight ... Inaccurate,"['celebrity_endorsement', 'supplement_scam']",celebrity_endorsement|supplement_scam
Shark Tank weight loss supplement,"The cast of the ""Shark Tank"" TV show invested in keto gummies for weight loss.",,,,Snopes,snopes.com,'Shark Tank' Keto Gummies Weight Loss Reviews Are a Scam,https://www.snopes.com/fact-check/shark-tank-keto-gummies-weight-loss-reviews/,2023-03-14T16:20:16Z,Scam,en,,2023-03-14,false,"The cast of the ""Shark Tank"" TV show invested in keto gummies for weight loss. 'Shark Tank' Keto Gummies Weight Loss Reviews Are a Scam Scam",['celebrity_endorsement'],celebrity_endorsement
weight loss before after photos,Facebook users are sharing before-and-after photos of their dramatic weight loss transformations.,Facebook accounts,2024-07-02T00:00:00Z,,AAP,aap.com.au,AI experts weigh in on bogus before-and-after diet images,https://www.aap.com.au/factcheck/ai-experts-weigh-in-on-bogus-before-and-after-diet-images/,2025-02-07T01:20:43Z,"False. The images are fake, created using AI technology and posted on hacked accounts.",en,2024-07-02,2025-02-07,false,"Facebook users are sharing before-and-after photos of their dramatic weight loss transformations. AI experts weigh in on bogus before-and-after diet images False. The images are fake, created using AI technology and posted on hacked accounts.",[],
